epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9355,1.68441,1.96594,1.42556,0.9052,0.85879,0.89846,0.43932,1.62276,1.44211,1.30467,0.000471522,0.000471522,0.000471522
2,96.8285,1.51506,0.96778,1.30377,0.90364,0.91014,0.93127,0.48137,1.57573,0.91353,1.297,0.000929088,0.000929088,0.000929088
3,142.714,1.49894,0.9128,1.2952,0.91301,0.90512,0.93214,0.48647,1.51584,0.89052,1.31131,0.00136779,0.00136779,0.00136779
4,187.758,1.48958,0.88355,1.28286,0.91073,0.90164,0.91421,0.44055,1.72795,0.8935,1.34811,0.00134412,0.00134412,0.00134412
5,234.326,1.46977,0.83879,1.27208,0.92209,0.91747,0.94308,0.48042,1.60613,0.84097,1.33958,0.00131582,0.00131582,0.00131582
6,278.647,1.46253,0.82721,1.28048,0.92842,0.91494,0.93983,0.49519,1.55528,0.75964,1.29451,0.00128753,0.00128753,0.00128753
7,323.29,1.4462,0.79037,1.27026,0.93645,0.93104,0.95246,0.51655,1.48787,0.73801,1.27979,0.00125923,0.00125923,0.00125923
8,368.665,1.43957,0.77884,1.26089,0.93594,0.9277,0.94713,0.51698,1.49522,0.7065,1.29272,0.00123094,0.00123094,0.00123094
9,414.056,1.43221,0.7823,1.2683,0.9367,0.92901,0.94911,0.51406,1.4993,0.72131,1.29026,0.00120265,0.00120265,0.00120265
10,458.956,1.43551,0.76808,1.27154,0.93919,0.92579,0.95128,0.5174,1.50481,0.7133,1.29917,0.00117435,0.00117435,0.00117435
11,504.814,1.42463,0.75088,1.26181,0.93618,0.9293,0.95081,0.51717,1.4961,0.71155,1.29801,0.00114606,0.00114606,0.00114606
12,549.753,1.42704,0.73925,1.26164,0.93298,0.92471,0.94924,0.52815,1.45279,0.71266,1.26803,0.00111776,0.00111776,0.00111776
13,595.671,1.41761,0.73997,1.26193,0.94102,0.92938,0.9529,0.52768,1.47179,0.69302,1.28566,0.00108947,0.00108947,0.00108947
14,640.281,1.4216,0.73854,1.26385,0.93923,0.93107,0.95074,0.52501,1.45259,0.70735,1.28321,0.00106118,0.00106118,0.00106118
15,685.195,1.40565,0.72832,1.25422,0.94267,0.92815,0.95206,0.5167,1.49017,0.70873,1.28621,0.00103288,0.00103288,0.00103288
16,730.367,1.40346,0.72209,1.25684,0.92912,0.92277,0.95019,0.52311,1.46055,0.69366,1.27711,0.00100459,0.00100459,0.00100459
