epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7223,1.68559,1.97283,1.41212,0.88895,0.8841,0.90988,0.46511,1.57557,1.20145,1.30021,0.000471522,0.000471522,0.000471522
2,104.407,1.52097,0.96005,1.28881,0.90233,0.90959,0.93499,0.49977,1.51799,0.95555,1.25915,0.000929088,0.000929088,0.000929088
3,154.599,1.50583,0.90972,1.27393,0.92657,0.92192,0.93939,0.48561,1.55342,0.85271,1.28658,0.00136779,0.00136779,0.00136779
4,203.483,1.4921,0.87383,1.26634,0.92848,0.91973,0.93576,0.50246,1.52321,0.81581,1.25524,0.00134412,0.00134412,0.00134412
5,252.573,1.47831,0.83614,1.25664,0.92286,0.91706,0.94574,0.51717,1.48227,0.82344,1.28183,0.00131582,0.00131582,0.00131582
6,302.684,1.47419,0.82582,1.26779,0.93131,0.92308,0.94319,0.51637,1.47534,0.7578,1.28342,0.00128753,0.00128753,0.00128753
7,351.766,1.45731,0.79247,1.25418,0.93942,0.92654,0.95096,0.52453,1.48232,0.7383,1.26337,0.00125923,0.00125923,0.00125923
8,401.136,1.45101,0.7845,1.24825,0.93553,0.92287,0.94975,0.52665,1.44386,0.73482,1.2623,0.00123094,0.00123094,0.00123094
9,450.227,1.44497,0.78824,1.25268,0.93028,0.92881,0.94934,0.52858,1.44604,0.71721,1.27002,0.00120265,0.00120265,0.00120265
10,499.029,1.44658,0.76911,1.25861,0.93555,0.92341,0.94941,0.52491,1.47327,0.71977,1.28686,0.00117435,0.00117435,0.00117435
11,549.375,1.4373,0.75009,1.24748,0.9279,0.92886,0.94789,0.52865,1.4694,0.70094,1.27941,0.00114606,0.00114606,0.00114606
12,599.099,1.4415,0.74219,1.24919,0.9328,0.92313,0.948,0.52874,1.45051,0.7043,1.27556,0.00111776,0.00111776,0.00111776
13,648.024,1.42898,0.74144,1.24656,0.93559,0.92094,0.95036,0.52881,1.45842,0.71293,1.27719,0.00108947,0.00108947,0.00108947
14,697.361,1.43395,0.7376,1.24905,0.93774,0.92286,0.95042,0.52878,1.43683,0.72132,1.2706,0.00106118,0.00106118,0.00106118
15,747.19,1.41582,0.7293,1.24103,0.94267,0.92805,0.95472,0.53074,1.45724,0.70242,1.27354,0.00103288,0.00103288,0.00103288
16,797.659,1.41355,0.7274,1.24529,0.93097,0.92481,0.95258,0.531,1.43084,0.67898,1.26571,0.00100459,0.00100459,0.00100459
17,848.304,1.41471,0.71324,1.2419,0.94252,0.9305,0.95222,0.52831,1.45682,0.67331,1.27765,0.000976293,0.000976293,0.000976293
18,897.265,1.41794,0.72594,1.24694,0.93553,0.92503,0.94933,0.52782,1.45573,0.67105,1.27274,0.000947999,0.000947999,0.000947999
19,946.687,1.42123,0.71392,1.24459,0.93597,0.92901,0.95233,0.53286,1.45347,0.6557,1.28224,0.000919704,0.000919704,0.000919704
20,998.463,1.40937,0.70798,1.24605,0.9376,0.92999,0.9537,0.53527,1.44744,0.6696,1.27869,0.00089141,0.00089141,0.00089141
21,1047.33,1.40691,0.7123,1.24486,0.93616,0.92644,0.94966,0.53317,1.4394,0.68754,1.27863,0.000863116,0.000863116,0.000863116
22,1096.78,1.40091,0.70018,1.24354,0.94117,0.92571,0.95189,0.53387,1.42561,0.6911,1.25993,0.000834822,0.000834822,0.000834822
23,1145.61,1.4045,0.70055,1.23905,0.93587,0.92428,0.95295,0.52509,1.43736,0.6816,1.26845,0.000806528,0.000806528,0.000806528
24,1194.93,1.39139,0.69875,1.24251,0.94148,0.93161,0.95361,0.53628,1.45097,0.65639,1.27755,0.000778233,0.000778233,0.000778233
25,1245.34,1.39456,0.68203,1.23982,0.93883,0.92905,0.95254,0.53532,1.43862,0.6515,1.27478,0.000749939,0.000749939,0.000749939
26,1293.82,1.39058,0.68448,1.23454,0.93935,0.93063,0.95339,0.53723,1.43558,0.67635,1.27589,0.000721645,0.000721645,0.000721645
27,1343.59,1.3903,0.68567,1.24163,0.93982,0.9268,0.95179,0.53229,1.4301,0.67521,1.25945,0.000693351,0.000693351,0.000693351
28,1392.15,1.39199,0.6813,1.23399,0.93795,0.92797,0.95096,0.53363,1.44257,0.65421,1.27442,0.000665057,0.000665057,0.000665057
29,1441.15,1.38545,0.68771,1.23344,0.94149,0.92974,0.95259,0.53501,1.44299,0.65311,1.27171,0.000636762,0.000636762,0.000636762
30,1490.54,1.37917,0.67427,1.22753,0.9438,0.92911,0.95214,0.53271,1.44833,0.63462,1.27055,0.000608468,0.000608468,0.000608468
31,1539.21,1.37874,0.66314,1.22925,0.93801,0.92723,0.94864,0.5321,1.45397,0.6403,1.27495,0.000580174,0.000580174,0.000580174
32,1587.23,1.38555,0.67758,1.22878,0.93922,0.92878,0.95101,0.53434,1.44107,0.644,1.26446,0.00055188,0.00055188,0.00055188
33,1635.61,1.38495,0.66551,1.23526,0.9442,0.9331,0.95407,0.53271,1.45026,0.63883,1.27172,0.000523586,0.000523586,0.000523586
34,1683.16,1.38391,0.67527,1.23537,0.93711,0.92446,0.94879,0.52796,1.44945,0.66488,1.27223,0.000495291,0.000495291,0.000495291
35,1731.66,1.37032,0.65656,1.22481,0.94118,0.93434,0.95246,0.53259,1.45621,0.62602,1.26972,0.000466997,0.000466997,0.000466997
36,1780.88,1.37104,0.65668,1.22093,0.94124,0.92942,0.95119,0.53015,1.4542,0.64329,1.27781,0.000438703,0.000438703,0.000438703
