epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2659,1.6098,1.3102,1.50749,0.91943,0.91884,0.94165,0.50743,1.48604,0.91333,1.39856,0.000471522,0.000471522,0.000471522
2,112.518,1.47902,0.8095,1.32559,0.92548,0.91833,0.94452,0.51717,1.48355,0.75699,1.33577,0.000929088,0.000929088,0.000929088
3,170.057,1.48202,0.78195,1.31546,0.90352,0.90826,0.94509,0.51226,1.50792,0.73101,1.33572,0.00136779,0.00136779,0.00136779
4,221.717,1.46892,0.75784,1.29904,0.9348,0.91327,0.94398,0.51514,1.48043,0.69463,1.31014,0.00134412,0.00134412,0.00134412
5,273.824,1.4618,0.74193,1.28651,0.93575,0.92425,0.95168,0.52453,1.46224,0.6873,1.2954,0.00131582,0.00131582,0.00131582
6,330.103,1.45319,0.72831,1.28939,0.93709,0.92294,0.94764,0.52307,1.47362,0.66586,1.30035,0.00128753,0.00128753,0.00128753
7,381.369,1.44211,0.71601,1.28267,0.93089,0.92497,0.95222,0.52567,1.46208,0.68722,1.29749,0.00125923,0.00125923,0.00125923
8,434.874,1.43608,0.71238,1.2717,0.93084,0.92856,0.94931,0.52386,1.46407,0.65872,1.3003,0.00123094,0.00123094,0.00123094
9,486.933,1.42995,0.71752,1.27292,0.94122,0.9202,0.95119,0.52936,1.43788,0.66376,1.28534,0.00120265,0.00120265,0.00120265
10,538.933,1.42785,0.70344,1.27038,0.92892,0.91773,0.95043,0.52971,1.45096,0.66531,1.29425,0.00117435,0.00117435,0.00117435
11,593.513,1.42423,0.69185,1.26305,0.93713,0.92976,0.95155,0.52934,1.46186,0.65022,1.30388,0.00114606,0.00114606,0.00114606
12,644.12,1.4209,0.69061,1.26198,0.93363,0.92379,0.95199,0.53339,1.44446,0.67362,1.28528,0.00111776,0.00111776,0.00111776
13,697.8,1.41024,0.68897,1.25688,0.93011,0.92673,0.95043,0.53,1.44686,0.66969,1.29251,0.00108947,0.00108947,0.00108947
14,748.853,1.41726,0.68428,1.26045,0.9415,0.92648,0.9535,0.53367,1.44026,0.66368,1.28961,0.00106118,0.00106118,0.00106118
15,801.626,1.40007,0.68343,1.25178,0.9404,0.92821,0.95392,0.53195,1.45278,0.66461,1.28924,0.00103288,0.00103288,0.00103288
16,853.433,1.39254,0.68097,1.25415,0.93412,0.92114,0.95263,0.53351,1.42581,0.66373,1.28781,0.00100459,0.00100459,0.00100459
17,903.741,1.3965,0.66772,1.25346,0.93547,0.92852,0.95341,0.53488,1.4408,0.63992,1.28809,0.000976293,0.000976293,0.000976293
18,957.976,1.39599,0.68354,1.25575,0.94057,0.92667,0.95433,0.5371,1.44432,0.63275,1.28699,0.000947999,0.000947999,0.000947999
19,1010.92,1.40193,0.67448,1.25298,0.9362,0.92455,0.9517,0.53409,1.44475,0.63339,1.28949,0.000919704,0.000919704,0.000919704
20,1061.05,1.38629,0.66318,1.25301,0.94045,0.93068,0.95286,0.53249,1.45437,0.62212,1.29155,0.00089141,0.00089141,0.00089141
21,1113.6,1.38561,0.66952,1.25242,0.93468,0.9277,0.95323,0.53767,1.42776,0.66635,1.28764,0.000863116,0.000863116,0.000863116
22,1166.34,1.38033,0.6571,1.24978,0.9372,0.92667,0.95262,0.53912,1.42375,0.65254,1.28401,0.000834822,0.000834822,0.000834822
23,1220.13,1.38145,0.66157,1.2451,0.93971,0.92637,0.95545,0.53546,1.42833,0.64987,1.2769,0.000806528,0.000806528,0.000806528
24,1270.55,1.36989,0.65322,1.24224,0.94371,0.93163,0.95624,0.53817,1.43582,0.63135,1.28367,0.000778233,0.000778233,0.000778233
25,1321.15,1.36953,0.64427,1.24531,0.93796,0.93005,0.9519,0.53338,1.44082,0.6333,1.29902,0.000749939,0.000749939,0.000749939
26,1373.04,1.3672,0.6454,1.2398,0.93778,0.92851,0.95419,0.53708,1.43575,0.64087,1.29635,0.000721645,0.000721645,0.000721645
27,1423.07,1.36345,0.64749,1.24733,0.93519,0.92761,0.9533,0.53411,1.42409,0.65146,1.28659,0.000693351,0.000693351,0.000693351
28,1474.04,1.36761,0.64426,1.23951,0.94023,0.92685,0.95313,0.53509,1.44139,0.63434,1.28326,0.000665057,0.000665057,0.000665057
29,1526.18,1.35921,0.64532,1.23832,0.94111,0.93076,0.95366,0.534,1.46007,0.61534,1.29393,0.000636762,0.000636762,0.000636762
30,1576.86,1.35321,0.63361,1.23028,0.93915,0.93079,0.95363,0.5342,1.45202,0.61357,1.28952,0.000608468,0.000608468,0.000608468
31,1626.95,1.35617,0.62342,1.23226,0.93537,0.92738,0.94869,0.52821,1.47163,0.61527,1.30742,0.000580174,0.000580174,0.000580174
32,1679.21,1.35609,0.63622,1.23063,0.93956,0.92748,0.95358,0.53072,1.45366,0.6237,1.28679,0.00055188,0.00055188,0.00055188
